"filename", "language", "Batch", "JavaScript", "JSON", "Python", "Properties", "YAML", "Markdown", "comment", "blank", "total"
"e:\JS Test\Projects\MESBot\tasurik\cmds\database.json", "JSON", 0, 0, 424, 0, 0, 0, 0, 0, 0, 424
"e:\JS Test\Projects\MESBot\tasurik\cmds\delete.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"e:\JS Test\Projects\MESBot\tasurik\cmds\dig.js", "JavaScript", 0, 469, 0, 0, 0, 0, 0, 0, 233, 702
"e:\JS Test\Projects\MESBot\tasurik\cmds\dm.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"e:\JS Test\Projects\MESBot\tasurik\cmds\encoder.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 6, 24, 113
"e:\JS Test\Projects\MESBot\tasurik\cmds\eval.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 2, 10, 34
"e:\JS Test\Projects\MESBot\tasurik\cmds\fact.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"e:\JS Test\Projects\MESBot\tasurik\cmds\fbhack.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"e:\JS Test\Projects\MESBot\tasurik\cmds\gemini.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 3, 5, 36
"e:\JS Test\Projects\MESBot\tasurik\cmds\gif.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 2, 7, 55
"e:\JS Test\Projects\MESBot\tasurik\cmds\gpt.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 2, 4, 33
"e:\JS Test\Projects\MESBot\tasurik\cmds\guessthefootballer.js", "JavaScript", 0, 1061, 0, 0, 0, 0, 0, 4, 11, 1076
"e:\JS Test\Projects\MESBot\tasurik\cmds\help.js", "JavaScript", 0, 383, 0, 0, 0, 0, 0, 1, 18, 402
"e:\JS Test\Projects\MESBot\tasurik\cmds\herc.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 3, 12, 59
"e:\JS Test\Projects\MESBot\tasurik\cmds\imagine.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 1, 13, 88
"e:\JS Test\Projects\MESBot\tasurik\cmds\keepON.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 1, 14, 82
"e:\JS Test\Projects\MESBot\tasurik\cmds\kick.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
"e:\JS Test\Projects\MESBot\tasurik\cmds\liner.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 2, 5, 36
"e:\JS Test\Projects\MESBot\tasurik\cmds\livescore.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 4, 42
"e:\JS Test\Projects\MESBot\tasurik\cmds\lyrics.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 2, 5, 36
"e:\JS Test\Projects\MESBot\tasurik\cmds\meme.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 2, 7, 53
"e:\JS Test\Projects\MESBot\tasurik\cmds\neko.js", "JavaScript", 0, 268, 0, 0, 0, 0, 0, 0, 45, 313
"e:\JS Test\Projects\MESBot\tasurik\cmds\nsfw.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"e:\JS Test\Projects\MESBot\tasurik\cmds\nsim.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 4, 37
"e:\JS Test\Projects\MESBot\tasurik\cmds\permit.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 4, 7, 53
"e:\JS Test\Projects\MESBot\tasurik\cmds\pfp.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"e:\JS Test\Projects\MESBot\tasurik\cmds\play.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 0, 41, 112
"e:\JS Test\Projects\MESBot\tasurik\cmds\pokedex.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"e:\JS Test\Projects\MESBot\tasurik\cmds\pokeguess.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 2, 13, 81
"e:\JS Test\Projects\MESBot\tasurik\cmds\qa.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 4, 6, 51
"e:\JS Test\Projects\MESBot\tasurik\cmds\quiz.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 0, 7, 55
"e:\JS Test\Projects\MESBot\tasurik\cmds\quizfootballer.js", "JavaScript", 0, 182, 0, 0, 0, 0, 0, 0, 154, 336
"e:\JS Test\Projects\MESBot\tasurik\cmds\quote.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 5, 36
"e:\JS Test\Projects\MESBot\tasurik\cmds\rainbow.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"e:\JS Test\Projects\MESBot\tasurik\cmds\randomapi.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"e:\JS Test\Projects\MESBot\tasurik\cmds\repans.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"e:\JS Test\Projects\MESBot\tasurik\cmds\resend.js", "JavaScript", 0, 100, 0, 0, 0, 0, 0, 5, 18, 123
"e:\JS Test\Projects\MESBot\tasurik\cmds\say.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 14, 9, 71
"e:\JS Test\Projects\MESBot\tasurik\cmds\setNickname.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 3, 21
"e:\JS Test\Projects\MESBot\tasurik\cmds\shrinkwrap.yaml", "YAML", 0, 0, 0, 0, 0, 630, 0, 0, 1, 631
"e:\JS Test\Projects\MESBot\tasurik\cmds\sim.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 0, 22, 109
"e:\JS Test\Projects\MESBot\tasurik\cmds\slap.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 3, 33
"e:\JS Test\Projects\MESBot\tasurik\cmds\source.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"e:\JS Test\Projects\MESBot\tasurik\cmds\sus.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\JS Test\Projects\MESBot\tasurik\cmds\tasurik.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 22, 67
"e:\JS Test\Projects\MESBot\tasurik\cmds\teach.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 13, 60
"e:\JS Test\Projects\MESBot\tasurik\cmds\threadinfo.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 6, 6, 23
"e:\JS Test\Projects\MESBot\tasurik\cmds\translate.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 19, 37
"e:\JS Test\Projects\MESBot\tasurik\cmds\trash.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"e:\JS Test\Projects\MESBot\tasurik\cmds\triggered.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"e:\JS Test\Projects\MESBot\tasurik\cmds\troll.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 3, 5, 34
"e:\JS Test\Projects\MESBot\tasurik\cmds\tweet.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"e:\JS Test\Projects\MESBot\tasurik\cmds\uid.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"e:\JS Test\Projects\MESBot\tasurik\cmds\unsend.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"e:\JS Test\Projects\MESBot\tasurik\cmds\unsplash.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"e:\JS Test\Projects\MESBot\tasurik\cmds\userinfo.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 1, 3, 23
"e:\JS Test\Projects\MESBot\tasurik\cmds\vid.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 0, 41, 113
"e:\JS Test\Projects\MESBot\tasurik\cmds\weather.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 9, 64
"e:\JS Test\Projects\MESBot\tasurik\cmds\webss.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"e:\JS Test\Projects\MESBot\tasurik\cmds\wordguess.js", "JavaScript", 0, 1131, 0, 0, 0, 0, 0, 5, 47, 1183
"e:\JS Test\Projects\MESBot\tasurik\cmds\wpm.js", "JavaScript", 0, 161, 0, 0, 0, 0, 0, 7, 58, 226
"e:\JS Test\Projects\MESBot\tasurik\cmds\zuck.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"e:\JS Test\Projects\MESBot\tasurik\createCommand.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 13, 67
"e:\JS Test\Projects\MESBot\tasurik\createCommand.py", "Python", 0, 0, 0, 41, 0, 0, 0, 0, 29, 70
"e:\JS Test\Projects\MESBot\tasurik\env.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 16
"e:\JS Test\Projects\MESBot\tasurik\envToJSON.js", "JavaScript", 0, 112, 0, 0, 0, 0, 0, 0, 4, 116
"e:\JS Test\Projects\MESBot\tasurik\index.js", "JavaScript", 0, 861, 0, 0, 0, 0, 0, 30, 144, 1035
"e:\JS Test\Projects\MESBot\tasurik\package-lock.json", "JSON", 0, 0, 9662, 0, 0, 0, 0, 0, 1, 9663
"e:\JS Test\Projects\MESBot\tasurik\package.json", "JSON", 0, 0, 45, 0, 0, 0, 0, 0, 1, 46
"e:\JS Test\Projects\MESBot\tasurik\run.bat", "Batch", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\JS Test\Projects\MESBot\tasurik\tests\paste.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"Total", "-", 1, 8391, 79845, 41, 14, 630, 23, 142, 1629, 90716
